uid,car_vin,car_company,car_model,car_model_year,car_color
3957e888-a631-4131-b347-c33649c43c80,2T2BK1BA9FC229611,Dodge,Ram Wagon B350,1993,Purple
f10af486-8477-4732-a07c-02b61c997bc0,SCFAB01E19G822966,Eagle,Summit,1993,Crimson
06356e29-f623-4df7-9b6f-c3d0446a75ea,WDDNG9FBXDA586694,Saturn,L-Series,2002,Aquamarine
85277402-29f3-42b8-91dd-fb4646fce7e6,3N1CE2CP8FL461948,Mazda,Navajo,1992,Mauv
28b420a4-4498-4b68-a11c-3fc1a491cb31,1FTSW2B51AE990976,MINI,Cooper,2011,Fuscia
9c7cfdef-5042-4fe2-8d1a-f46bf40eef66,WBA3B9G53FN754726,Dodge,Ram Van 1500,1997,Green
57bc2ea1-6576-49d2-a971-3f706169f4dc,JM1NC2LF5F0835531,Nissan,Frontier,2004,Mauv
351359bc-fc92-4867-bd41-02927d453497,1VWAH7A39DC700681,GMC,Jimmy,1997,Puce
bf97fc4b-fd05-4bbe-923e-def1fe422208,WA1EFCFS8FR737685,Ford,Explorer,2012,Teal
c2967a09-401c-4f89-96c5-0b9410947784,4A31K3DT2AE592314,Nissan,240SX,1996,Fuscia
ffc14ce7-186f-468c-b03f-9b0a9c09ce55,WBA5A5C5XFD616441,Cadillac,Seville,2000,Purple
25bb9133-1803-40de-84c6-0452328d1169,1FADP5BU5DL779951,Infiniti,QX,2005,Blue
97c237dc-5c97-420e-a2de-e10904f9a873,WAU4FAFR7BA867045,Jeep,Patriot,2007,Mauv
15d6969c-2f42-43f6-be9f-eb5d1820e0a0,1YVHZ8BA0A5650720,Audi,4000s,1986,Red
e8a36962-a819-4b69-bdde-84eb096247d8,1GD02ZCG1CF377022,Infiniti,QX56,2011,Crimson
b951145d-a5a1-4e0d-8e20-e578dc8d5035,JN1AY1AP4CM130944,Subaru,Brat,1984,Puce
3534fecb-b619-4043-8b47-aebc61ea652a,WAUDH48H27K716759,Kia,Sorento,2004,Teal
95280d22-5024-465e-9ce5-d763eccdfc2d,SCFHDDAJ4BA382604,Subaru,XT,1990,Goldenrod
3bd871e6-2ce8-4e50-b79d-69343fcd2641,2C3CCAHG9CH668573,Lincoln,Continental Mark VII,1989,Yellow
22b01a85-7e70-4587-a5bb-10534171c009,WP0AB2A84CS141242,GMC,Acadia,2011,Aquamarine
36f23b21-eade-45a5-a8ee-7de176da66f1,3D73M3CL4BG048646,Nissan,Frontier,2000,Turquoise
1107e6de-fb05-4ffa-953f-72c19773f5a7,2FMDK4GC2AB337569,Chevrolet,Corvette,1972,Teal
ef09a9be-8386-4898-84a4-6746cd9adbb9,WAUDL74F96N186839,Acura,NSX,2000,Mauv
baf2c69d-2049-4f0c-9c0c-1e1643d56b7b,1G6DJ577480230265,Dodge,Dakota,2010,Indigo
a545dbbd-1109-444f-8d50-22053f289b7c,3C6TD5JT6CG147308,Land Rover,Range Rover Classic,1993,Red
b97cda09-2933-4453-9f03-4252f4b597a2,2LMDJ6JK2FB897394,Toyota,Tacoma,2005,Goldenrod
7a2557b0-70ae-4e0a-b72e-6924dc35edba,3D7TT2CT4AG773255,Dodge,Stratus,2002,Red
5487fdf4-0388-4cbe-8e8f-eec415d0ab0b,JTJBC1BA9E2599842,Scion,xB,2012,Teal
074fdace-04d6-4dad-a3e5-39e59b9f2e7c,WA1CGBFE0ED245897,Pontiac,Firebird,1995,Violet
2470d23f-552e-4577-b193-e774ac831f91,WAURGAFD0EN638274,Ford,F-Series Super Duty,2012,Pink
7bacd7c7-0ed4-4854-a347-8b5378dcb063,4T1BF1FK4CU508485,Acura,RDX,2010,Teal
a1070047-3a7b-4ccc-9e94-7ed957bdef5c,1G4GF5E36DF375290,Volkswagen,Eurovan,2002,Turquoise
8668385a-d0ef-4ba2-8831-21a7f8365e27,WAUAF98E57A398461,Audi,A4,1997,Aquamarine
6ce5ee15-7623-401c-a09c-3e8ad745f6ee,TRURD38J291194652,GMC,Sierra 2500,1999,Blue
834a695f-6449-476f-b55a-73407b192e02,WAU4GBFBXBN906578,Lincoln,Navigator L,2012,Indigo
6659c68b-eb3b-465a-9a15-65ef501b3d9c,WAUKH74F17N662091,Chevrolet,Uplander,2007,Red
7c22b3c9-7512-4eda-915e-48e8eac5c603,WBALM7C51CE085677,GMC,Rally Wagon 3500,1994,Turquoise
0b7315ce-d9dd-4acd-905b-5d912d64365d,3HGGK5G54FM616783,Lamborghini,Countach,1990,Pink
774fdcf9-80c6-4d07-b5cf-5e081c2420f7,1GYS3RKJ3FR728162,Mitsubishi,Pajero,1992,Blue
ae9f5320-2c9a-47bc-b103-70dcd4609734,1FBNE3BL0ED765789,Bentley,Continental GT,2010,Turquoise
5ef2a9e1-b4d0-444e-a0a1-c876705ed688,WAUHGBFC0DN058711,Toyota,Solara,1999,Pink
3fa0245f-7158-437e-975b-2b19591ebc9a,3VW467AT2DM393453,Ford,Mustang,1992,Aquamarine
f398d392-4eba-45c9-9bff-ad636e673d26,WAUJT64B64N083367,Ferrari,430 Scuderia,2009,Goldenrod
a8f5400e-6b63-4a46-a9b0-b1d2144167dd,WAUKG98E66A642702,Ford,E150,1984,Turquoise
f4b91dd1-6019-4839-948e-5c4e369cb046,5TDDK3DC6BS749502,Pontiac,Grand Prix,1999,Yellow
fd94a01d-92d7-4ba0-897c-a5c45ddb8b42,2FMGK5BC2BB467752,Ford,Laser,1988,Puce
2d633ca7-a187-4d89-8a4a-ffd18309ec41,SCBFH7ZA6FC188816,Mitsubishi,GTO,1993,Blue
b5672f1c-7d3b-4bfa-9499-8f4b50e5e4cf,1G4PS5SK9D4771183,Honda,CR-V,2012,Fuscia
dfc35b02-9f69-4c27-bd24-fda5f3a1f9a0,5FRYD4H22EB808684,Subaru,Justy,1992,Yellow
da66bfad-5ece-420c-8f76-7c6f1d9641ac,5TDBW5G10BS425303,Ford,Taurus,1987,Indigo
b606199c-0a88-4cf6-9a9d-34d381036c7b,2C3CCAEG3DH314148,Acura,TL,2000,Orange
e5e41190-9d0c-483b-b76b-664290398480,3C4PDDGG8FT851777,Bugatti,Veyron,2009,Aquamarine
92f00b6c-afd6-481f-af92-97caa564264a,4T1BF1FK4FU298426,Ford,E250,2009,Aquamarine
e3c27282-cff1-4ecb-8157-b9756712fa96,1G6DU6EAXA0350606,Lincoln,Town Car,1995,Indigo
4f54068a-da1d-4692-85ea-68e44f667935,JTHKD5BH1B2748467,Subaru,Outback Sport,2002,Goldenrod
cfe885d8-7f88-4318-b86f-ca6e026ef645,1C4RDHEG0DC333397,Cadillac,DTS,2007,Indigo
d76994ff-8bca-49c6-8dae-c7e6a8b86098,TRUSC28N831931135,Volvo,V50,2006,Crimson
e3f11cf1-0d1c-48f8-8d03-80e388afb7b3,WBA3A5G59DN103061,Eagle,Talon,1992,Puce
a66eea07-b8a5-468b-86b0-8f3c8ec62e51,5N1AA0ND7EN354875,Mercedes-Benz,W201,1984,Turquoise
3c97b9e6-5a14-4ce0-824b-bf52ccce9818,JM1NC2LF6F0489389,Volkswagen,Passat,1992,Aquamarine
deab79ab-d448-40a5-935c-89cba3d3be22,5N1AR2MM6FC602262,Pontiac,Firebird,1999,Purple
a4381b05-eb25-45c9-b4f2-788140701861,4JGBF2FE4AA189099,Dodge,Ram Van 2500,2002,Blue
9d28c6d5-d3e8-4c78-8951-3fbf7c549694,WBAUN7C58DV110173,Volkswagen,GTI,2010,Violet
b53765e6-d163-4950-afed-d02ded0d8ea5,SAJWA4HA4EM999235,Mitsubishi,Mirage,1987,Maroon
5d2f2018-8816-4274-b377-dc6ea8b6ceb6,SALFR2BN1BH434610,Chrysler,Voyager,2003,Turquoise
bad94600-8b8f-446b-bee4-cc097dc4d339,WBAKG1C51CJ280833,Kia,Spectra,2006,Yellow
7ea7ce0e-d4ff-4b8d-a8a2-d0f750809068,WBA3B5C58DJ849589,Volkswagen,Passat,2009,Goldenrod
1c906bd2-b3ca-4c01-b12b-9ef4c60ebc00,2FMDK3GC8BB477251,Nissan,Cube,2011,Goldenrod
a14169fb-4541-476a-a0e8-683c2d73ff93,JTMHY7AJ1A5447999,Isuzu,Rodeo,1998,Teal
27da5dcf-9b6c-4dd1-ae78-9b62cd9bb79a,1N4AA5AP8CC614037,Nissan,Xterra,2006,Khaki
4955535f-c924-4097-8060-44ed3781ec56,NM0KS6BN2AT214452,Mercury,Capri,1992,Green
c399d263-816f-4f5c-ab7d-3be92ec25191,1G4PT5SV0F4645661,Acura,RL,2007,Pink
4ba75c9f-113a-4aac-ad33-055163bc54eb,1FTSE3EL2AD421353,Lincoln,MKT,2011,Puce
1761ff70-fe32-45d9-a334-6a52004b208a,3GYFNJE48AS712550,Cadillac,CTS,2005,Red
687ebc5b-ee88-448a-b6bb-6424f69b5513,WBAVB33506P140152,Chevrolet,2500,1995,Khaki
0404c70e-650a-4a8f-9d4d-298244804496,WAUMR94E69N293742,Lincoln,Navigator L,2011,Indigo
1e644e5c-811c-4de5-b47c-16b555ddeeb1,WBAFU7C58DD627023,Saturn,S-Series,2001,Red
fc48d7dc-a587-4ed1-b17f-3ad77f443fd1,SCBBR9ZA4AC759476,Mercury,Cougar,2001,Goldenrod
f893ead7-894a-47c9-9565-d03b82432374,1N6AF0LY4FN343987,Toyota,MR2,1992,Turquoise
eaec6a6f-5d8a-46a6-a939-768974f28cd6,19XFB2E22CE201971,Toyota,Corolla,2009,Orange
2606273e-ac4c-4c31-a0fa-1ea45a5e4f34,WAUSH74F37N765917,Volvo,C70,2008,Pink
d38a5340-c579-4b26-a6d9-867643a84e9d,WAUCFAFC8DN587749,Ford,Explorer,2003,Mauv
a9c5fcc8-1a1a-4c62-a118-db3066fb4516,WAUJT68E64A336070,Toyota,Tercel,1998,Blue
57f64bcc-afb0-4047-9dea-704264a32cf6,YV1672MKXA2262251,Honda,S2000,2006,Pink
4c35a726-249e-45c4-81a3-c68c529a787d,JTDZN3EU2E3969231,Ford,Festiva,1990,Crimson
118f7a33-0613-49c8-b2f7-22bd3d3c5b09,JN8AS5MT3AW888231,BMW,745,2002,Goldenrod
ca5afda3-5cd7-42df-91d6-52651778c557,1C4PJLAK2CW222540,Dodge,D250 Club,1992,Green
ef386610-49fb-4a85-842b-f7c87636c958,1FAHP3EN9BW219887,Subaru,Tribeca,2011,Crimson
d87f4bfc-3c53-4770-b7aa-0e4893325a4d,1G6KD57968U573149,Saturn,Ion,2006,Pink
58541656-2784-4750-a4de-ba9954adc406,WDDHF2EB6BA881345,Audi,Allroad,2005,Fuscia
144210fa-dee3-48f4-8230-04c0988efd13,WAUDH74F08N543135,Volkswagen,Passat,1992,Green
79fa2df2-0a52-40e8-a27a-646055e0c119,1N4AL3AP2EC713633,Chevrolet,SSR,2003,Aquamarine
d7dc6657-f22f-45ae-a63d-ec48df5214d4,2G4GV5GV1D9706450,Suzuki,Reno,2006,Blue
1619b1ae-f04c-4509-90d7-7c3ea757c0ae,JH4CU2F63CC519229,Audi,Q7,2010,Purple
